network,fact,stars,month,day,rating,prevratings,competition,bbs,abn,oct,dec,aprmay,mon,sun,march
"BBS",0,1,1,1,15.6,14.2,14.5,1,0,0,0,0,1,0,0
"BBS",1,0,1,7,10.8,15.3,17.2,1,0,0,0,0,0,1,0
"BBS",0,1,1,7,14.1,13.8,14.4,1,0,0,0,0,0,1,0
"BBS",1,1,1,1,16.8,12.8,15.3,1,0,0,0,0,1,0,0
"BBS",1,1,2,1,14.3,12.4,13.3,1,0,0,0,0,1,0,0
"BBS",1,1,2,1,17.1,12.9,15.1,1,0,0,0,0,1,0,0
"BBS",0,0,3,1,8.9,10.8,14.9,1,0,0,0,0,1,0,1
"BBS",1,0,3,7,16.2,13.3,11.6,1,0,0,0,0,0,1,1
"BBS",0,1,4,7,9.4,12.3,12.8,1,0,0,0,1,0,1,0
"BBS",0,1,5,1,10.2,10.7,15.6,1,0,0,0,1,1,0,0
"BBS",0,0,5,7,9.4,10.7,14.5,1,0,0,0,1,0,1,0
"BBS",0,1,5,1,12.1,10.1,15.6,1,0,0,0,1,1,0,0
"BBS",1,0,5,1,10.7,8.6,17,1,0,0,0,1,1,0,0
"BBS",1,0,9,7,15,9.8,8.2,1,0,0,0,0,0,1,0
"BBS",0,0,9,7,10.2,11.7,13.5,1,0,0,0,0,0,1,0
"BBS",0,1,9,7,10.3,10.1,15.2,1,0,0,0,0,0,1,0
"BBS",0,1,10,7,10.8,10.9,13.1,1,0,1,0,0,0,1,0
"BBS",1,0,10,7,14.4,15.9,12.6,1,0,1,0,0,0,1,0
"BBS",1,1,11,7,14.4,12.1,14.2,1,0,0,0,0,0,1,0
"BBS",1,0,11,7,13.6,11.4,11.9,1,0,0,0,0,0,1,0
"ABN",0,0,1,7,14.6,19.3,14.4,0,1,0,0,0,0,1,0
"ABN",0,1,1,2,10.8,16.3,15.2,0,1,0,0,0,0,0,0
"ABN",0,0,1,7,16.2,20.1,14.4,0,1,0,0,0,0,1,0
"ABN",0,0,1,2,12.8,14.8,13.1,0,1,0,0,0,0,0,0
"ABN",0,1,1,7,16,19.3,13.5,0,1,0,0,0,0,1,0
"ABN",0,1,2,7,18.9,17.8,13,0,1,0,0,0,0,1,0
"ABN",1,1,2,2,14,14.3,13.8,0,1,0,0,0,0,0,0
"ABN",1,1,3,7,19.5,16.2,11.8,0,1,0,0,0,0,1,1
"ABN",1,0,3,2,14.7,13.8,15.7,0,1,0,0,0,0,0,1
"ABN",0,1,3,7,16.3,18,11.4,0,1,0,0,0,0,1,1
"ABN",1,0,3,7,15.8,17.7,13.3,0,1,0,0,0,0,1,1
"ABN",0,1,3,7,17.1,17.1,11.3,0,1,0,0,0,0,1,1
"ABN",0,0,3,2,11.5,13.8,13.1,0,1,0,0,0,0,0,1
"ABN",1,0,3,7,16,15.3,11.8,0,1,0,0,0,0,1,1
"ABN",0,1,3,2,11.7,16.6,14.3,0,1,0,0,0,0,0,1
"ABN",0,0,4,2,14.2,13.6,11.4,0,1,0,0,1,0,0,0
"ABN",0,0,4,7,11.2,14.3,14.4,0,1,0,0,1,0,1,0
"ABN",0,0,4,2,10.9,12.4,13,0,1,0,0,1,0,0,0
"ABN",0,1,4,7,13.3,13.1,10.1,0,1,0,0,1,0,1,0
"ABN",1,0,4,7,15.5,17,12.4,0,1,0,0,1,0,1,0
"ABN",1,0,4,2,16.6,13.6,11.8,0,1,0,0,1,0,0,0
"ABN",1,0,5,7,16.3,16.5,12.8,0,1,0,0,1,0,1,0
